MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Murali Naik Bhukya,57,Mahabubabad,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Dr. Murali Naik Bhukya.jpg
Donthi Madhava Reddy,62,Narsampet,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Donthi Madhava Reddy.jpg
Revuri Prakash Reddy,71,Parkal,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Revuri Prakash Reddy.jpg
Naini Rajender Reddy,54,Warangal West,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Naini Rajender Reddy.jpg
Konda Surekha,58,Warangal East,Female,Indian National Congress,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Konda Surekha.jpg
K.R. Nagaraj K.,60,Waradhanapet,Male,Indian National Congress,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,K.R.Nagaraj.K.jpg
Gandra Satyanarayana Rao,58,Bhupalpalle,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Gandra Satyanarayana Rao.jpg
Danasari Anasuya Seethakka,52,Mulug,Female,Indian National Congress,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Danasari Anasuya Seethakka.jpg
Payam Venkateswarlu,49,Pinapaka,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Payam Venkateswarlu.jpg
Koram Kanakaiah,61,Yellandu,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Koram Kanakaiah.jpg
Tummala Nageswara Rao,71,Khammam,Male,Indian National Congress,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Tummala Nageswara Rao.jpg
Ponguleti Srinivasa Reddy,58,Palair,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Ponguleti Srinivasa Reddy.jpg
Bhatti Vikramarka Mallu,63,Madhira,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Bhatti Vikramarka Mallu.jpg
Ramdas Maloth,59,Wyra,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Ramdas Maloth.jpg
Matta Ragamayee,52,Sathupalle,Female,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Matta Ragamayee.jpg
Kunamneni Sambasiva Rao,67,Kothagudem,Male,Communist Party of India,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kunamneni Sambasiva Rao.jpg
Adinarayana Jare,40,Aswaraopeta,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Adinarayana. Jare.jpg
Tellam Venkata Rao,55,Bhadrachalam,Male,Bharat Rashtra Samithi,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Dr. Tellam Venkata Rao.jpg
